MetaID,Date,StudyPhase,DataPointsCollected,DataQualityScore,ActiveResearchers,ProtocolDeviations,PeerReviewStatus,PublicationReady
1,2025-07-08,Setup,0,0,Trevisan;Navagero;Bembo;Ferrari,Initial configuration and testing,Pending,FALSE
2,2025-07-09,Setup,45,78,Trevisan;Ferrari,Minor timestamp sync issues resolved,Pending,FALSE
3,2025-07-10,Baseline,1250,92,Trevisan;Navagero;Bembo;Ferrari,None,InReview,FALSE
4,2025-07-11,Baseline,1340,94,Trevisan;Navagero;Bembo;Ferrari,None,InReview,FALSE
5,2025-07-12,Baseline,1180,88,Trevisan;Navagero;Ferrari,Bembo absent for personal reasons,InReview,FALSE
6,2025-07-13,Baseline,1420,96,Trevisan;Navagero;Bembo;Ferrari,None,Approved,FALSE
7,2025-07-14,Intervention,1580,91,Trevisan;Navagero;Bembo;Ferrari,Crisis intensity calibration adjusted,InReview,FALSE
8,2025-07-15,Intervention,1625,93,Trevisan;Navagero;Bembo;Ferrari,None,InReview,FALSE
9,2025-07-16,Intervention,1490,89,Trevisan;Navagero;Bembo;Ferrari,Network congestion affected 2 hours of data,InReview,FALSE
10,2025-07-17,Intervention,1710,97,Trevisan;Navagero;Bembo;Ferrari,None,Approved,FALSE
11,2025-07-18,Analysis,890,95,Trevisan;Navagero;Bembo;Ferrari,Beginning statistical analysis,Pending,FALSE
12,2025-07-19,Analysis,920,96,Trevisan;Navagero;Bembo;Ferrari,Peer review of attribution categories,InReview,FALSE
13,2025-07-20,Analysis,750,98,Trevisan;Navagero;Bembo;Ferrari,Final validation checks,Approved,TRUE