RecordID,Timestamp,ExperimentGroup,ResourceLevel,ActiveCitizens,CoordinationAttempts,SuccessfulCoordinations,NovelBehaviors,NetworkConnections,ObserverID,BlindCondition,DataQuality,Notes,CoordinationEfficiency,NoveltyRate
1,2025-07-10T08:00:00,Control_A,100,25,12,10,"",3,Trevisan,TRUE,Verified,Baseline measurement - normal resources,0.833,0
2,2025-07-10T08:05:00,Control_A,100,25,15,13,"",2,Trevisan,TRUE,Verified,Steady state behavior,0.867,0
3,2025-07-10T08:10:00,Control_B,100,30,18,14,"",4,Navagero,TRUE,Verified,Limited information condition,0.778,0
4,2025-07-10T08:15:00,Test_C,25,28,22,11,"Citizens forming supply chains without central coordination",8,Bembo,TRUE,Verified,Resource constraint visible,0.5,0.036
5,2025-07-10T08:20:00,Test_C,25,32,28,16,"New distribution hub at Campo San Polo; Citizens creating resource maps",12,Bembo,TRUE,Verified,Novel behaviors emerging,0.571,0.063
6,2025-07-10T08:25:00,Test_D,25,35,35,22,"Rotation system for resource access; Trust-based lending emerging; Predictive stockpiling",15,Ferrari,TRUE,Verified,Multiple novel protocols,0.629,0.086
7,2025-07-10T08:30:00,Control_A,100,24,13,11,"",1,Trevisan,TRUE,Verified,Return to baseline,0.846,0
8,2025-07-10T08:35:00,Test_D,15,40,45,20,"Barter networks replacing currency; Resource pooling cooperatives; Efficiency algorithms shared",18,Ferrari,TRUE,Verified,Severe constraint response,0.444,0.075
9,2025-07-10T08:40:00,Control_B,100,26,16,12,"",3,Navagero,TRUE,Needs_Review,Data collection interrupted,0.75,0
10,2025-07-10T08:45:00,Test_C,35,30,25,18,"Previous novel behaviors persisting",10,Bembo,TRUE,Verified,Constraint relaxed slightly,0.72,0.033
11,2025-07-10T08:50:00,Test_D,10,45,55,15,"Crisis committees formed; Mathematical optimization visible; Citizens teaching protocols",25,Ferrari,TRUE,Verified,Extreme constraint,0.273,0.067
12,2025-07-10T08:55:00,Control_A,100,25,14,12,"",2,Trevisan,TRUE,Verified,Stable baseline,0.857,0